GMT,SWEAT index,Showalter index,LIFTED index,K index,Cross totals index,Vertical totals index,Totals totals index,TLCL,PLCL,CINE,CAPE,PRECIPITABLE WATER,1000-500 THICKNESS,prob,Date,TH
0,226.1,4.6,0.6,34.3,21.7,28.1,49.8,290.84,975.18,-196.0,132.9,37.4,5672,,01/04/1981,0
12,416.0,-1.6,-8.3,36.0,26.7,29.3,56.0,294.44,932.88,-67.6,2671.9,40.1,5720,,01/04/1981,0
0,225.7,4.8,-1.9,35.5,21.1,25.5,46.6,294.64,977.65,-40.1,774.6,41.5,5727,,02/04/1981,0
12,238.2,0.8,-5.2,33.4,22.1,28.9,51.0,292.42,898.06,-181.7,1442.2,37.3,5747,,02/04/1981,0
0,310.7,0.0,-8.7,34.8,23.1,30.7,53.8,297.93,995.1,-26.4,2643.8,42.5,5758,,03/04/1981,1
12,130.7,-1.5,-9.1,24.4,14.9,26.7,41.6,296.09,916.61,-68.9,5928.8,33.9,5722,,03/04/1981,1
0,509.5,-1.6,-10.1,41.3,25.9,30.1,56.0,297.53,972.06,-6.9,41.3,51.9,5776,,04/04/1981,0
12,252.2,-5.9,-14.0,33.8,21.1,30.9,52.0,298.08,919.14,-54.9,8381.4,42.8,5702,,04/04/1981,0
0,88.2,4.4,-3.7,13.4,5.3,24.7,30.0,297.42,979.97,-63.5,2035.3,36.7,5758,,05/04/1981,0
12,121.8,0.5,-2.8,16.6,11.9,31.3,43.2,285.23,766.59,-1089.1,948.4,25.1,5767,,05/04/1981,0
0,71.8,1.2,-6.9,15.2,3.4,30.5,33.9,297.29,987.66,-88.3,2023.3,24.9,5737,,06/04/1981,0
12,62.1,6.8,3.6,4.4,2.6,24.7,27.3,284.79,794.54,0.0,0.0,23.8,5762,,06/04/1981,0
0,57.6,7.2,2.2,12.4,6.9,22.9,29.8,291.39,942.67,-119.4,78.5,26.6,5720,,07/04/1981,0
12,33.0,9.5,6.5,10.4,0.6,25.5,26.1,285.55,880.36,0.0,0.0,20.6,5734,,07/04/1981,0
0,67.9,11.1,6.7,5.0,1.2,25.1,26.3,289.42,951.71,0.0,0.0,22.5,5760,,08/04/1981,0
12,58.2,6.5,4.6,8.8,5.0,27.1,32.1,278.89,706.99,0.0,0.0,23.0,5788,,08/04/1981,0
0,87.3,2.7,-3.0,5.4,3.4,27.1,30.5,292.73,942.31,-135.7,840.9,18.3,5713,,09/04/1981,0
12,93.5,7.4,5.4,15.6,5.3,27.5,32.8,278.24,691.79,0.0,0.0,28.4,5819,,09/04/1981,0
0,75.7,11.6,11.6,16.6,5.6,28.9,34.5,272.0,723.65,0.0,0.0,18.5,5710,,10/04/1981,0
12,155.2,2.1,-2.6,21.2,14.3,28.9,43.2,288.84,815.84,-610.2,1382.3,29.4,5785,,10/04/1981,0
0,98.9,0.4,-6.7,18.4,9.6,31.3,40.9,295.27,964.31,-130.8,2124.2,30.1,5737,,11/04/1981,0
12,168.5,-4.6,-11.3,24.4,19.1,30.1,49.2,294.57,890.0,-129.4,4418.0,33.1,5730,,11/04/1981,0
0,155.1,-2.8,-10.4,20.0,17.1,31.7,48.8,296.71,969.5,-8.7,49.8,31.2,5693,,12/04/1981,0
12,325.6,3.4,-2.1,40.9,24.5,28.1,52.6,292.0,927.54,-191.5,500.0,45.5,5751,,12/04/1981,0
0,222.2,6.5,1.1,19.8,22.7,23.3,46.0,292.47,977.89,-260.7,251.8,39.7,5742,,13/04/1981,0
12,283.2,-0.2,-8.0,35.6,24.3,27.9,52.2,295.9,923.08,-67.0,4493.4,45.7,5783,,13/04/1981,0
0,252.0,3.6,-4.1,36.3,23.9,25.1,49.0,296.24,980.09,-25.5,2448.7,46.9,5756,,14/04/1981,0
12,131.8,0.0,-6.7,22.4,16.9,27.7,44.6,293.91,897.35,-127.0,678.7,32.6,5768,,14/04/1981,0
0,205.3,3.3,-3.9,30.8,22.1,22.9,45.0,295.65,980.15,-5.4,2387.6,41.0,5734,,15/04/1981,1
12,216.9,1.2,-7.4,36.7,22.1,26.3,48.4,297.8,963.91,-11.8,1463.4,47.2,5769,,15/04/1981,1
0,231.9,2.6,-4.9,31.6,23.1,25.5,48.6,296.06,982.65,-23.0,2690.2,43.2,5743,,16/04/1981,1
12,302.6,1.6,-4.8,27.8,24.3,27.9,52.2,293.14,907.88,-160.0,577.1,43.4,5764,,16/04/1981,1
0,193.9,4.3,-0.7,35.5,17.5,31.9,49.4,291.49,977.98,-374.1,91.5,37.2,5744,,17/04/1981,1
12,419.6,-1.4,-8.3,42.3,27.5,29.7,57.2,295.14,956.07,-19.2,1.0,48.7,5730,,17/04/1981,1
